id,date,type,name,duration_s,distance_km,eq_distance_km,elevation_m,elevation_per_km,pace_s_km,eq_pace_s_km,avg_hr,max_hr,cadence,VO2max,aerobic_effect,anaerobic_effect,calories,is_trail,month,riegel_factor,difficulty_index,log_eq_distance,relative_elevation,avg_power,norm_power,training_load,grade_adj_pace_s_km,stride_length,pct_zone1,pct_zone2,pct_zone3,pct_zone4,pct_zone5,fastest_1km,fastest_5km,fastest_10km,trimp,ATL,CTL,TSB,load_7d,load_28d,rest_days
10077708297,2022-12-03 15:10:57,running,Montagny Course à pied,2510.530029296875,8.11093017578125,10.19093017578125,208.0,25.644407668688295,309.5,246.34944857763332,162.0,177.0,163.265625,56.0,4.199999809265137,0.0,548.0,0,12,9.196337526568637,11.714038728589976,2.3214981262659506,25.644407668688295,319.0,329.0,158.07626342773438,295.6,118.53873993557346,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,111.35468337813091,111.35468337813091,111.35468337813091,0.0,111.35468337813091,111.35468337813091,0.0
10113420275,2022-12-10 13:32:15,running,Montagny Course à pied,2522.73095703125,7.58068994140625,9.460689941406251,188.0,24.79985350319251,332.8,266.65401494558097,159.0,185.0,165.1875,57.0,4.199999809265137,0.10000000149011612,549.0,0,12,8.560344800837989,10.82625315055378,2.247145312899717,24.79985350319251,319.0,329.0,154.38133239746094,283.0,109.14854294757723,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,104.63208443767662,14.947440633953804,26.99834597697594,12.050905343022137,104.63208443767662,215.98676781580753,6.0
10147859918,2022-12-17 16:13:04,running,Montagny Course à pied,2243.700927734375,6.63827978515625,8.27827978515625,164.0,24.705195518682075,338.0,271.03468183783133,161.0,176.0,162.0625,57.0,3.9000000953674316,0.10000000149011612,488.0,0,12,7.436676433491556,9.397590276810124,2.1136351913971105,24.705195518682075,319.0,329.0,133.99749755859375,317.3,109.52491433816927,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,97.32493521631216,30.64983400269021,28.702373722309268,-1.947460280380941,214.54883801883147,430.535605834639,6.0
10174070068,2022-12-22 16:09:05,running,Granges-Paccot Course à pied,3546.760009765625,10.185919921875,12.235919921874999,205.0,20.12582089515034,348.2,289.8645980368699,155.0,178.0,156.359375,56.0,4.099999904632568,0.10000000149011612,711.0,0,12,11.707934201524157,14.21984372776325,2.5043758817980524,20.12582089515034,319.0,329.0,146.30088806152344,337.8,109.78234371090122,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,134.36601067315667,33.0987065556384,28.245080825389785,-4.853625730248616,231.69094588946882,564.9016165077957,4.0
10183352932,2022-12-25 10:03:28,running,Montagny Course à pied,1981.8599853515625,6.7472998046875,8.317299804687499,157.0,23.26856735948336,293.7,238.2816577363987,170.0,185.0,165.96875,55.0,4.400000095367432,1.600000023841858,455.0,0,12,7.566199846881282,9.444550599320864,2.1183376594519068,23.26856735948336,319.0,329.0,186.5975341796875,282.2,122.78314119877116,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,104.80656713342565,34.16751111522604,29.117747114835712,-5.049764000390329,239.1725778065823,669.7081836412214,2.0
10200141954,2022-12-28 14:00:41,running,Montagny Course à pied,3139.18701171875,10.37658984375,12.94658984375,257.0,24.767289048703756,302.5,242.47211424823197,161.0,185.0,162.890625,55.0,4.400000095367432,0.0,677.0,0,12,11.940373989392047,15.096793438359246,2.5608324209384907,24.767289048703756,319.0,329.0,174.30026245117188,290.3,121.60424459133776,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,136.16840318193496,53.62014014121676,30.995253339352164,-22.624886801864594,375.3409809885173,805.8765868231562,3.0
10247649466,2023-01-05 11:56:42,running,Granges-Paccot Course à pied,2114.740966796875,6.896830078125,7.686830078125,79.0,11.454537679646192,306.7,275.11223030868797,151.0,173.0,162.453125,56.0,3.5999999046325684,0.0,440.0,0,1,7.744056228810642,8.687445992040022,2.039508485026407,11.454537679646192,319.0,329.0,116.090576171875,312.3,120.44059515227667,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,73.08088942619467,10.440127060884953,25.851690477922087,15.411563417037135,73.08088942619467,767.6027928712201,7.0
10295203386,2023-01-12 16:42:06,running,Montagny Course à pied,3345.945068359375,11.0187197265625,13.728719726562499,271.0,24.59450886537284,303.7,243.71865221238355,162.0,183.0,164.359375,56.0,4.5,0.10000000149011612,729.0,0,1,12.72503555953937,16.065263059750137,2.619489969005541,24.59450886537284,319.0,329.0,192.9040069580078,298.6,120.16610162622783,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,148.40955867479792,21.20136552497113,25.05773255912558,3.8563670341544487,148.40955867479792,694.1563643058221,7.0
10348877404,2023-01-18 11:50:26,running,Granges-Paccot Course à pied,2438.426025390625,6.92160986328125,7.73160986328125,81.0,11.70247985655771,352.2,315.38399744807754,144.0,161.0,160.359375,56.0,3.200000047683716,0.0,471.0,0,1,7.773552636681744,8.741100777502778,2.045317102659881,11.70247985655771,319.0,329.0,87.98811340332031,355.1,106.2275728996686,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,71.49790059540845,60.0475909245439,28.2841887938816,-31.763402130662296,420.3331364718073,868.7550068865191,3.0
10359701588,2023-01-22 16:03:05,running,Montagny Course à pied,2036.3330078125,7.10708984375,8.76708984375,166.0,23.356958143139416,286.5,232.27011974380395,161.0,185.0,164.359375,56.0,3.700000047683716,0.10000000149011612,457.0,0,1,7.994536946094024,9.986809933916867,2.171004920500785,23.356958143139416,319.0,329.0,134.1318817138672,281.6,127.48623172551802,0.0,0.0,0.0,0.0,0.0,269.66949462890625,1485.491943359375,3111.4970703125,88.32994434080487,27.01655379677063,25.80233138297184,-1.2142224137987903,189.1158765773944,747.2004050619228,1.0
